ID;Pontos
1;
2;THI 30 DIGIT
3;THI 50 DIGIT
4;THI 30 DIGIT PN
5;THI 50 DIGIT PN
6;THI 30 DIGIMATIC PN
7;THI 50 DIGIMATIC PN
8;THV 50
